id_pedido,id_cliente,status,valor_total,atualizado_em
10029,509,PAGO,2165.18,2026-07-19 19:17:00
10047,511,PAGO,1476.62,2026-06-19 08:52:00
10145,543,ENVIADO,3035.58,2026-05-23 09:17:00
10139,547,PAGO ,4936.96,2026-05-27 09:41:00
10123,514,NOVO,1716.39,2026-06-30 14:44:00
10013,501,PAGO,2180.21,2026-05-31 17:14:00
10036,534,ENTREGUE,908.04,2026-06-22 09:48:00
10041,525,ENVIADO,2460.67,2026-07-04 00:21:00
10107,546,ENVIADO,637.44,2026-06-06 20:31:00
10059,543,CANCELADO,1768.66,2026-05-12 01:48:00
10043,502,ENTREGUE ,2964.06,2026-05-21 00:29:00
10018,527,ENTREGUE,1892.81,2026-07-08 05:59:00
10102,522,ENTREGUE,404.22,2026-06-03 16:03:00
10147,538, PAGO,4234.36,2026-06-21 21:53:00
10064,521,PAGO,0.00,2026-05-23 18:12:00
10020,504,ENTREGUE,2447.98,2026-06-06 08:23:00
10079,540,ENVIADO,516.00,2026-06-17 11:41:00
10087,525, CANCELADO,400.64,2026-06-12 19:53:00
10067,532,PAGO,2245.02,2026-06-20 21:05:00
10012,520,ENVIADO,980.89,2026-05-19 02:16:00
10125,539,ENTREGUE,2673.86,2026-06-16 10:57:00
10075,529,cancelado,3896.37,2026-05-29 18:56:00
10088,514,PAGO,2460.68,2026-05-09 16:48:00
10008,554,PAGO,3879.63,2026-05-24 18:21:00
10114,542,CANCELADO,5434.00,2026-05-31 11:58:00
10023,543,ENVIADO ,3819.41,2026-05-19 02:30:00
10130,552,CANCELADO,3536.38,2026-05-20 22:03:00
10050,568,CANCELADO,3563.92,2026-05-25 00:09:00
10045,543,NOVO,1700.77,2026-06-23 06:06:00
10016,520,ENTREGUE,654.21,2026-06-30 14:15:00
10042,544,PAGO,4257.24,2026-05-26 21:54:00
10133,553,PAGO,1130.70,2026-06-19 07:08:00
10035,530,CANCELADO,497.41,2026-05-17 10:53:00
10063,533,CANCELADO,1382.35,2026-07-06 04:06:00
10002,569,NOVO,1912.59,2026-05-13 00:37:00
10076,508,ENTREGUE,848.15,2026-07-07 14:21:00
10017,561,ENVIADO ,711.88,2026-05-26 19:21:00
10037,529,NOVO,1403.87,2026-05-10 12:32:00
10014,551,NOVO,2079.87,2026-06-09 16:35:00
10126,557,PAGO,2385.24,2026-06-07 13:53:00
10132,563,ENTREGUE,297.66,2026-06-03 19:23:00
10081,541,CANCELADO,1569.46,2026-06-15 00:07:00
10093,547, PAGO,1065.94,2026-07-06 02:53:00
10128,530,CANCELADO,3971.88,2026-06-07 04:57:00
10127,535,NOVO,4688.94,2026-06-09 02:39:00
10101,511,ENTREGUE,4582.24,2026-06-12 10:20:00
10040,503,NOVO,260.67,2026-05-27 06:06:00
10092,551, CANCELADO,976.86,2026-07-12 16:47:00
10095,526,NOVO,711.42,2026-05-31 21:53:00
10150,570, PAGO,1964.62,2026-07-05 21:21:00
10005,525,NOVO,564.59,2026-06-07 08:30:00
10137,529,ENTREGUE,1849.49,2026-05-30 19:31:00
10134,546,CANCELADO,359.51,2026-07-06 11:47:00
10124,551,NOVO,2196.20,2026-05-12 07:14:00
10006,527,CANCELADO,3838.50,2026-06-26 21:26:00
10094,521,CANCELADO,135.31,2026-05-29 22:56:00
10066,568,ENVIADO,1968.75,2026-05-25 16:45:00
10120,507, NOVO,2919.64,2026-06-22 10:01:00
10057,510,ENTREGUE,4889.79,2026-06-29 00:43:00
10060,510,ENVIADO,4313.66,2026-07-20 16:58:00
10024,561,PAGO,4785.77,2026-07-09 04:49:00
10033,526,CANCELADO,1675.59,2026-06-10 22:02:00
10032,563,NOVO,5049.10,2026-05-21 01:37:00
10098,542,ENTREGUE,0.00,2026-06-01 16:11:00
10074,547,ENVIADO,1095.96,2026-06-18 08:51:00
10030,518,ENTREGUE,658.81,2026-06-18 20:09:00
10131,513,PAGO,1603.21,2026-06-30 09:35:00
10096,562,ENVIADO,343.21,2026-06-16 15:05:00
10019,525,ENTREGUE,4187.12,2026-05-28 10:57:00
10053,532,ENTREGUE,1400.56,2026-07-10 14:52:00
10032,563,CANCELADO,5049.10,2026-05-21 01:37:00
10110,526, CANCELADO,2621.88,2026-06-12 01:47:00
10003,551, PAGO,502.78,2026-05-20 22:54:00
10129,565,NOVO,1563.47,2026-07-21 00:27:00
10073,540,ENTREGUE,185.60,2026-05-22 00:49:00
10105,514,ENVIADO,6615.23,2026-06-09 03:34:00
