id_pedido,id_cliente,status,valor_total,atualizado_em,operacao
10058,547,ENTREGUE,2321.51,2026-06-05T23:27:00-03:00,U
10117,506,PAGO,4166.22,2026-05-16T16:39:00-03:00,U
10011,517,CANCELADO,2075.29,2026-06-03T15:55:00-03:00,D
10081,541,PAGO,1569.46,2026-06-05T06:07:00-03:00,U
10144,542,PAGO,3630.54,2026-06-29T15:16:00-03:00,U
10149,506,PAGO,3378.80,2026-06-25T07:21:00-03:00,U
10118,512,CANCELADO,3570.78,2026-07-05T03:36:00-03:00,U
10063,533,CANCELADO,1382.35,2026-07-06T01:06:00-03:00,U
10057,510,ENTREGUE,4889.79,2026-06-28T21:43:00-03:00,U
10042,544,PAGO,4257.24,2026-05-26T18:54:00-03:00,U
10082,517,CANCELADO,994.27,2026-06-29T12:42:00-03:00,U
10126,557,NOVO,2385.24,2026-06-06T04:53:00-03:00,I
10125,539,ENVIADO,2550.12,2026-06-02T16:57:00-03:00,U
10053,532,NOVO,1400.56,2026-06-17T20:52:00-03:00,I
10129,565,NOVO,1563.47,2026-06-30T21:27:00-03:00,I
10029,509,CANCELADO,1711.21,2026-06-25T02:17:00-03:00,U
10092,551,CANCELADO,851.62,2026-06-24T10:47:00-03:00,U
10138,524,PAGO,86.37,2026-06-26T07:00:00-03:00,U
10089,530,PAGO,301.56,2026-05-26T07:25:00-03:00,U
10076,508,ENVIADO,926.91,2026-06-28T02:21:00-03:00,U
10094,521,CANCELADO,149.54,2026-05-17T17:56:00-03:00,U
10123,514,NOVO,1716.39,2026-06-30T11:44:00-03:00,I
10013,501,PAGO,2180.21,2026-05-31T14:14:00-03:00,U
10114,542,CANCELADO,5434.00,2026-05-31T08:58:00-03:00,U
10006,527,ENVIADO,3838.50,2026-06-25T20:26:00-03:00,U
10036,534,NOVO,825.57,2026-06-10T06:48:00-03:00,I
10141,539,PAGO,2840.77,2026-05-28T00:09:00-03:00,U
10104,549,CANCELADO,4055.42,2026-05-27T19:37:00-03:00,U
10029,509,ENVIADO,1711.21,2026-07-07T10:17:00-03:00,D
10079,540,NOVO,516.00,2026-06-12T16:41:00-03:00,I
10149,506,CANCELADO,3706.45,2026-06-15T12:21:00-03:00,U
10110,526,NOVO,2151.22,2026-05-17T06:47:00-03:00,I
10140,510,PAGO,1548.25,2026-07-14T11:57:00-03:00,U
10099,557,ENTREGUE,190.47,2026-06-04T17:30:00-03:00,U
10031,518,NOVO,1178.43,2026-06-15T21:47:00-03:00,I
10098,542,ENTREGUE,2033.93,2026-05-20T23:11:00-03:00,U
10094,521,NOVO,149.54,2026-05-16T03:56:00-03:00,I
10076,508,NOVO,810.57,2026-06-27T11:21:00-03:00,I
10108,502,ENTREGUE,3398.35,2026-05-27T14:07:00-03:00,U
10003,528,PAGO,526.02,2026-05-08T12:54:00-03:00,U
10118,512,ENTREGUE,3442.86,2026-07-10T03:36:00-03:00,D
10105,514,ENVIADO,6615.23,2026-06-09T00:34:00-03:00,U
10067,532,CANCELADO,2245.02,2026-06-14T10:05:00-03:00,U
10006,527,CANCELADO,3838.50,2026-06-26T18:26:00-03:00,U
10076,508,ENTREGUE,848.15,2026-07-07T11:21:00-03:00,U
10150,570,PAGO,1964.62,2026-07-05T18:21:00-03:00,U
10094,521,CANCELADO,135.31,2026-05-29T19:56:00-03:00,U
10112,505,CANCELADO,1828.67,2026-05-16T04:16:00-03:00,U
10062,558,ENTREGUE,4365.13,2026-07-06T10:18:00-03:00,U
10134,546,NOVO,359.51,2026-07-01T08:47:00-03:00,I
10032,563,NOVO,5049.10,2026-05-19T03:37:00-03:00,I
10131,513,NOVO,1293.04,2026-06-11T12:35:00-03:00,I
10115,568,NOVO,4384.05,2026-05-04T21:56:00-03:00,I
10005,525,NOVO,564.59,2026-06-07T05:30:00-03:00,I
10042,544,NOVO,4257.24,2026-05-22T09:54:00-03:00,I
10022,526,ENVIADO,1098.82,2026-06-24T19:47:00-03:00,U
10065,548,NOVO,4142.03,2026-05-27T20:23:00-03:00,I
10110,526,ENTREGUE,2102.49,2026-05-30T09:47:00-03:00,U
10091,524,CANCELADO,1643.78,2026-06-30T23:37:00-03:00,D
10121,537,NOVO,2266.19,2026-05-19T20:10:00-03:00,I
10110,526,CANCELADO,2359.70,2026-06-06T03:47:00-03:00,U
10058,547,NOVO,2576.89,2026-05-25T09:27:00-03:00,I
10030,518,ENTREGUE,658.81,2026-06-18T17:09:00-03:00,U
10054,527,NOVO,3792.64,2026-05-25T08:03:00-03:00,I
10061,556,CANCELADO,1660.90,2026-06-24T11:12:00-03:00,U
10150,570,NOVO,1964.62,2026-06-29T00:21:00-03:00,I
10107,546,ENVIADO,637.44,2026-06-06T17:31:00-03:00,U
10139,547,PAGO,4936.96,2026-05-27T06:41:00-03:00,U
10010,558,ENTREGUE,3676.05,2026-05-30T12:42:00-03:00,U
10029,509,NOVO,2165.18,2026-07-18T10:17:00-03:00,I
10014,551,NOVO,2079.87,2026-06-09T13:35:00-03:00,I
10047,511,PAGO,1476.62,2026-06-19T05:52:00-03:00,U
10057,510,ENVIADO,4939.74,2026-06-23T05:43:00-03:00,U
10106,567,NOVO,1633.11,2026-05-27T10:06:00-03:00,I
10064,521,PAGO,,2026-05-23T15:12:00-03:00,U
10035,530,NOVO,497.41,2026-05-13T20:53:00-03:00,I
10071,568,PAGO,1038.30,2026-06-28T20:20:00-03:00,U
10142,534,PAGO,1251.73,2026-06-16T14:24:00-03:00,U
10002,569,NOVO,1912.59,2026-05-12T21:37:00-03:00,I
10006,527,CANCELADO,3494.01,2026-06-21T22:26:00-03:00,U
10075,529,NOVO,3896.37,2026-05-28T10:56:00-03:00,I
10043,502,ENTREGUE,2964.06,2026-05-20T21:29:00-03:00,U
10130,552,CANCELADO,3536.38,2026-05-20T19:03:00-03:00,U
10128,530,PAGO,3971.88,2026-06-06T20:57:00-03:00,U
10126,557,NOVO,2985.33,2026-05-27T17:53:00-03:00,I
10061,556,PAGO,1660.90,2026-07-02T19:12:00-03:00,D
10011,517,PAGO,158.67,2026-06-17T21:55:00-03:00,U
10099,557,CANCELADO,192.46,2026-06-01T13:30:00-03:00,U
10100,557,NOVO,2638.56,2026-06-19T05:45:00-03:00,I
10057,510,NOVO,4939.74,2026-06-19T10:43:00-03:00,I
10008,554,PAGO,3879.63,2026-05-24T15:21:00-03:00,U
10128,519,NOVO,3759.80,2026-05-31T19:57:00-03:00,I
10077,511,CANCELADO,1729.44,2026-05-30T04:49:00-03:00,D
10028,542,PAGO,2741.90,2026-06-21T17:21:00-03:00,U
10109,557,PAGO,4306.27,2026-06-30T19:49:00-03:00,U
10120,507,NOVO,2919.64,2026-06-22T07:01:00-03:00,I
10020,504,ENTREGUE,2448.01,2026-06-06T05:23:00-03:00,U
10054,527,ENTREGUE,3792.64,2026-06-04T20:03:00-03:00,U
10056,563,CANCELADO,4162.75,2026-06-10T17:23:00-03:00,U
10118,512,NOVO,3252.10,2026-06-30T19:36:00-03:00,I
10117,506,PAGO,4166.22,2026-05-20T06:39:00-03:00,D
10009,541,PAGO,3568.86,2026-06-15T14:00:00-03:00,U
10019,525,ENTREGUE,4187.12,2026-05-28T07:57:00-03:00,U
10096,562,NOVO,343.21,2026-06-01T23:05:00-03:00,I
10022,526,CANCELADO,1098.82,2026-06-29T23:47:00-03:00,U
10109,557,PAGO,4075.52,2026-07-10T08:49:00-03:00,D
10061,556,NOVO,1660.90,2026-06-19T20:12:00-03:00,I
10096,562,NOVO,343.21,2026-06-01T23:05:00-03:00,I
10109,557,ENVIADO,4075.52,2026-07-06T13:49:00-03:00,U
10073,540,ENTREGUE,185.60,2026-05-21T21:49:00-03:00,U
10026,528,ENVIADO,1402.95,2026-05-18T04:09:00-03:00,U
10022,526,CANCELADO,1101.98,2026-06-10T15:47:00-03:00,U
10111,558,NOVO,1210.39,2026-05-20T07:08:00-03:00,I
10112,505,ENTREGUE,1828.67,2026-05-23T13:16:00-03:00,U
10039,540,ENVIADO,1607.65,2026-07-03T17:21:00-03:00,U
10106,567,PAGO,1588.60,2026-06-10T03:06:00-03:00,D
10121,537,PAGO,2464.78,2026-05-22T04:10:00-03:00,U
10119,542,PAGO,,2026-07-05T04:06:00-03:00,U
10143,519,NOVO,1314.00,2026-06-18T01:25:00-03:00,I
10144,542,NOVO,3571.82,2026-06-15T22:16:00-03:00,I
10061,556,NOVO,1660.90,2026-06-19T20:12:00-03:00,I
10085,531,NOVO,4331.11,2026-06-22T08:30:00-03:00,I
10116,514,PAGO,4742.97,2026-07-01T12:42:00-03:00,U
10030,518,PAGO,658.81,2026-06-14T16:09:00-03:00,U
10049,539,NOVO,3239.09,2026-06-01T00:37:00-03:00,I
10139,547,ENTREGUE,4936.96,2026-05-18T21:41:00-03:00,U
10140,510,ENVIADO,1548.25,2026-07-07T21:57:00-03:00,U
10108,502,ENTREGUE,3398.35,2026-06-01T14:07:00-03:00,U
10079,540,CANCELADO,516.00,2026-06-14T20:41:00-03:00,U
10149,506,CANCELADO,3378.80,2026-06-18T18:21:00-03:00,U
10125,539,NOVO,2226.01,2026-05-28T06:57:00-03:00,I
10115,568,ENVIADO,4384.05,2026-05-16T15:56:00-03:00,D
10038,544,NOVO,2174.25,2026-06-23T16:11:00-03:00,I
10096,562,ENVIADO,343.21,2026-06-02T23:05:00-03:00,U
10089,530,PAGO,297.04,2026-05-29T21:25:00-03:00,U
10084,570,ENTREGUE,882.48,2026-06-04T03:37:00-03:00,U
10023,543,PAGO,4099.14,2026-05-17T05:30:00-03:00,U
10145,543,ENTREGUE,3035.58,2026-05-18T03:17:00-03:00,U
10072,541,ENVIADO,4293.04,2026-07-09T12:05:00-03:00,D
10039,540,NOVO,1607.65,2026-06-30T13:21:00-03:00,I
10079,540,CANCELADO,516.00,2026-06-16T23:41:00-03:00,U
10096,562,ENVIADO,343.21,2026-06-09T20:05:00-03:00,U
10024,561,PAGO,4785.77,2026-07-12T17:49:00-03:00,D
10098,542,ENVIADO,2033.93,2026-05-27T23:11:00-03:00,U
10148,541,NOVO,716.04,2026-05-31T13:39:00-03:00,I
10086,538,CANCELADO,1427.33,2026-06-04T02:46:00-03:00,U
10109,557,PAGO,4075.52,2026-07-07T05:49:00-03:00,U
10117,506,NOVO,4378.90,2026-05-10T07:39:00-03:00,I
10062,558,ENVIADO,4365.13,2026-07-04T13:18:00-03:00,U
10115,568,PAGO,4384.05,2026-05-09T18:56:00-03:00,U
10147,538,PAGO,4234.36,2026-06-21T18:53:00-03:00,U
10093,547,CANCELADO,1065.94,2026-07-04T05:53:00-03:00,U
10074,547,ENVIADO,1095.96,2026-06-18T05:51:00-03:00,U
10080,552,NOVO,1962.23,2026-05-08T00:48:00-03:00,I
10044,538,ENTREGUE,2383.75,2026-05-11T08:49:00-03:00,U
10041,525,ENVIADO,2460.67,2026-07-03T21:21:00-03:00,U
10119,542,CANCELADO,2606.28,2026-07-04T19:06:00-03:00,U
10011,517,ENTREGUE,2075.29,2026-05-27T18:55:00-03:00,U
10046,540,NOVO,1866.83,2026-05-24T03:56:00-03:00,I
10025,514,NOVO,3841.22,2026-06-21T06:20:00-03:00,I
10106,567,PAGO,1588.60,2026-06-08T11:06:00-03:00,U
10029,509,ENVIADO,1711.21,2026-07-06T14:17:00-03:00,U
10139,547,NOVO,4741.85,2026-05-18T05:41:00-03:00,I
10055,519,NOVO,1351.05,2026-06-03T12:46:00-03:00,I
10026,528,ENTREGUE,1402.95,2026-05-12T07:09:00-03:00,U
10090,533,CANCELADO,3087.10,2026-05-07T23:31:00-03:00,U
10016,520,ENTREGUE,654.21,2026-06-30T11:15:00-03:00,U
10125,539,ENTREGUE,2673.86,2026-06-16T07:57:00-03:00,U
10145,543,ENVIADO,2850.96,2026-05-14T11:17:00-03:00,U
10038,544,ENVIADO,2243.24,2026-06-30T09:11:00-03:00,U
10026,528,NOVO,1340.47,2026-05-06T21:09:00-03:00,I
10016,520,CANCELADO,654.21,2026-06-28T19:15:00-03:00,U
10040,503,NOVO,260.67,2026-05-27T03:06:00-03:00,I
10016,520,NOVO,584.86,2026-06-22T04:15:00-03:00,I
10053,532,ENTREGUE,1400.56,2026-06-28T11:52:00-03:00,U
10081,541,CANCELADO,1569.46,2026-06-10T17:07:00-03:00,U
10066,568,ENTREGUE,1968.75,2026-05-24T03:45:00-03:00,U
10131,513,ENVIADO,1603.21,2026-06-23T05:35:00-03:00,U
10105,514,PAGO,6125.21,2026-06-09T00:34:00-03:00,U
10068,568,NOVO,4960.51,2026-06-15T22:41:00-03:00,I
10088,514,PAGO,2460.68,2026-05-09T13:48:00-03:00,U
10029,509,ENTREGUE,1711.21,2026-06-30T13:17:00-03:00,U
10015,552,PAGO,1017.33,2026-05-14T17:58:00-03:00,U
10101,511,CANCELADO,4086.09,2026-06-02T19:20:00-03:00,U
10108,502,PAGO,3398.35,2026-05-31T22:07:00-03:00,U
10131,513,PAGO,1603.21,2026-06-30T06:35:00-03:00,U
10091,524,CANCELADO,1643.78,2026-06-30T06:37:00-03:00,U
10023,543,NOVO,4099.14,2026-05-12T05:30:00-03:00,I
10075,529,CANCELADO,3724.27,2026-06-05T05:56:00-03:00,U
10029,509,ENTREGUE,1711.21,2026-06-20T05:17:00-03:00,U
10097,524,ENVIADO,1159.20,2026-06-30T09:11:00-03:00,U
10041,525,CANCELADO,2460.67,2026-06-28T10:21:00-03:00,U
10088,514,NOVO,2460.68,2026-05-04T17:48:00-03:00,I
10058,547,CANCELADO,2321.51,2026-06-07T13:27:00-03:00,U
10003,528,PAGO,502.78,2026-05-20T19:54:00-03:00,U
10077,511,NOVO,1729.44,2026-05-19T09:49:00-03:00,I
10133,553,NOVO,1130.70,2026-06-14T22:08:00-03:00,I
10113,528,NOVO,4497.23,2026-05-12T02:36:00-03:00,I
10089,530,ENVIADO,301.56,2026-05-21T11:25:00-03:00,U
10097,524,PAGO,1159.20,2026-07-03T14:11:00-03:00,U
10041,525,CANCELADO,2460.67,2026-06-21T08:21:00-03:00,U
10125,539,PAGO,2673.86,2026-06-07T15:57:00-03:00,U
10015,552,NOVO,1032.81,2026-05-09T23:58:00-03:00,I
10114,531,NOVO,4822.11,2026-05-22T18:58:00-03:00,I
10080,552,PAGO,1962.23,2026-05-08T18:48:00-03:00,U
10033,526,CANCELADO,1675.59,2026-06-10T19:02:00-03:00,U
10078,549,ENVIADO,4620.37,2026-06-19T01:45:00-03:00,U
10108,502,ENTREGUE,3398.35,2026-06-01T14:07:00-03:00,U
10090,533,NOVO,3087.10,2026-05-07T19:31:00-03:00,I
10126,557,PAGO,2385.24,2026-06-07T10:53:00-03:00,U
10022,526,PAGO,1101.98,2026-06-17T16:47:00-03:00,U
10076,508,CANCELADO,848.15,2026-07-02T14:21:00-03:00,U
10137,529,ENVIADO,1849.49,2026-05-27T18:31:00-03:00,U
10017,561,NOVO,654.65,2026-05-15T12:21:00-03:00,I
10009,541,CANCELADO,3568.86,2026-06-09T16:00:00-03:00,U
10035,530,CANCELADO,497.41,2026-05-17T07:53:00-03:00,U
10084,570,NOVO,882.48,2026-06-02T23:37:00-03:00,I
10004,506,NOVO,4388.80,2026-06-24T00:03:00-03:00,I
10027,559,ENVIADO,4170.61,2026-06-30T23:20:00-03:00,U
10044,538,NOVO,2383.75,2026-05-08T10:49:00-03:00,I
10136,551,NOVO,1140.36,2026-06-15T09:30:00-03:00,I
10030,518,NOVO,686.15,2026-06-11T06:09:00-03:00,I
10070,530,PAGO,4697.60,2026-07-04T01:50:00-03:00,U
10086,538,ENTREGUE,1368.63,2026-06-06T19:46:00-03:00,U
10117,506,PAGO,4378.90,2026-05-12T12:39:00-03:00,U
10024,561,NOVO,4785.77,2026-07-03T03:49:00-03:00,I
10072,541,ENVIADO,4293.04,2026-07-07T03:05:00-03:00,U
10102,522,ENVIADO,404.22,2026-05-31T01:03:00-03:00,U
10144,542,CANCELADO,3630.54,2026-06-23T02:16:00-03:00,U
10060,510,ENVIADO,4313.66,2026-06-13T13:58:00-03:00,U
10084,570,CANCELADO,815.50,2026-06-10T20:37:00-03:00,U
10021,545,NOVO,479.70,2026-06-06T12:33:00-03:00,I
10079,540,ENVIADO,516.00,2026-06-17T08:41:00-03:00,U
10056,563,CANCELADO,4162.75,2026-06-13T08:23:00-03:00,D
10036,534,ENTREGUE,825.57,2026-06-16T10:48:00-03:00,U
10003,528,NOVO,506.88,2026-05-07T17:54:00-03:00,I
10059,543,CANCELADO,1768.66,2026-05-11T22:48:00-03:00,U
10027,570,CANCELADO,4285.87,2026-07-06T17:20:00-03:00,U
10020,504,NOVO,2448.01,2026-05-29T18:23:00-03:00,I
10011,517,ENTREGUE,2075.29,2026-05-29T07:55:00-03:00,U
10087,525,NOVO,400.64,2026-06-03T00:53:00-03:00,I
10092,551,NOVO,851.62,2026-06-23T09:47:00-03:00,I
10125,539,ENVIADO,2673.86,2026-06-11T10:57:00-03:00,U
10010,558,CANCELADO,3676.05,2026-06-01T09:42:00-03:00,U
10106,567,CANCELADO,1588.60,2026-06-03T23:06:00-03:00,U
10134,546,CANCELADO,359.51,2026-07-06T08:47:00-03:00,U
10012,520,NOVO,960.49,2026-05-11T21:16:00-03:00,I
10065,548,CANCELADO,4142.03,2026-05-28T03:23:00-03:00,U
10103,559,ENVIADO,1352.16,2026-05-19T16:38:00-03:00,U
10107,546,CANCELADO,637.44,2026-06-08T23:31:00-03:00,U
10030,518,PAGO,658.81,2026-06-17T00:09:00-03:00,U
10041,525,NOVO,2460.67,2026-06-20T03:21:00-03:00,I
10043,502,CANCELADO,2964.06,2026-05-15T10:29:00-03:00,U
10105,514,PAGO,5812.26,2026-06-04T05:34:00-03:00,U
10029,509,NOVO,1711.21,2026-06-13T16:17:00-03:00,I
10080,552,PAGO,2047.36,2026-05-15T11:48:00-03:00,U
10033,526,NOVO,1675.59,2026-06-05T19:02:00-03:00,I
10073,540,NOVO,184.48,2026-05-09T08:49:00-03:00,I
10124,551,NOVO,2196.20,2026-05-12T04:14:00-03:00,I
10018,527,ENTREGUE,1892.81,2026-06-21T17:59:00-03:00,U
10127,535,NOVO,3867.54,2026-05-31T18:39:00-03:00,I
10110,526,CANCELADO,2621.88,2026-06-11T22:47:00-03:00,U
10060,510,NOVO,4725.21,2026-06-06T03:58:00-03:00,I
10050,568,CANCELADO,3379.16,2026-05-22T16:09:00-03:00,U
10018,527,ENTREGUE,1892.81,2026-06-28T15:59:00-03:00,U
10023,543,ENVIADO,3819.41,2026-05-18T23:30:00-03:00,U
10126,557,ENVIADO,2985.33,2026-05-31T08:53:00-03:00,U
10103,559,ENTREGUE,1352.16,2026-05-25T03:38:00-03:00,U
10127,535,ENVIADO,3867.54,2026-06-02T11:39:00-03:00,U
10087,525,CANCELADO,400.64,2026-06-12T16:53:00-03:00,U
10082,517,NOVO,994.27,2026-06-18T12:42:00-03:00,I
10068,568,PAGO,4653.04,2026-06-17T03:41:00-03:00,U
10098,542,NOVO,2033.93,2026-05-15T01:11:00-03:00,I
10112,505,NOVO,1760.97,2026-05-15T13:16:00-03:00,I
10011,517,NOVO,2074.44,2026-05-26T20:55:00-03:00,I
10007,558,NOVO,3135.02,2026-05-30T13:00:00-03:00,I
10017,561,ENTREGUE,711.88,2026-05-21T12:21:00-03:00,U
10070,530,CANCELADO,4697.60,2026-06-26T13:50:00-03:00,U
10121,537,PAGO,2464.78,2026-05-22T01:10:00-03:00,U
10133,553,PAGO,1130.70,2026-06-19T04:08:00-03:00,U
10063,533,NOVO,1382.35,2026-07-02T18:06:00-03:00,I
10009,541,ENTREGUE,3568.86,2026-06-10T11:00:00-03:00,U
10130,552,CANCELADO,3798.25,2026-05-11T00:03:00-03:00,U
10025,514,ENVIADO,3841.22,2026-06-25T23:20:00-03:00,U
10105,514,ENVIADO,5812.26,2026-05-31T07:34:00-03:00,U
10102,522,ENTREGUE,404.22,2026-06-03T13:03:00-03:00,U
10080,552,ENTREGUE,1796.84,2026-05-11T13:48:00-03:00,U
10019,525,NOVO,4187.12,2026-05-26T02:57:00-03:00,I
10078,549,NOVO,5024.54,2026-06-07T08:45:00-03:00,I
10114,531,ENTREGUE,4822.11,2026-05-24T21:58:00-03:00,U
10050,568,CANCELADO,3563.92,2026-05-24T21:09:00-03:00,U
10038,544,ENTREGUE,2243.24,2026-07-02T21:11:00-03:00,D
10076,508,NOVO,810.57,2026-06-27T11:21:00-03:00,I
10130,552,NOVO,3798.25,2026-05-04T20:03:00-03:00,I
10138,524,CANCELADO,86.37,2026-06-21T01:00:00-03:00,U
10099,557,NOVO,192.46,2026-05-20T14:30:00-03:00,I
10036,534,ENTREGUE,908.04,2026-06-22T06:48:00-03:00,U
10009,541,NOVO,3568.86,2026-06-04T07:00:00-03:00,I
10018,527,ENTREGUE,1892.81,2026-07-08T02:59:00-03:00,U
10006,527,NOVO,3494.01,2026-06-18T12:26:00-03:00,I
10140,510,ENTREGUE,1547.29,2026-07-06T04:57:00-03:00,U
10092,551,ENTREGUE,976.86,2026-07-06T10:47:00-03:00,U
10029,509,PAGO,2165.18,2026-07-19T16:17:00-03:00,U
10064,521,CANCELADO,1261.26,2026-05-17T02:12:00-03:00,U
10008,554,NOVO,3879.63,2026-05-19T08:21:00-03:00,I
10103,559,ENVIADO,1352.16,2026-05-23T03:38:00-03:00,U
10059,543,PAGO,1930.34,2026-05-08T18:48:00-03:00,U
10028,542,PAGO,2496.64,2026-06-24T10:21:00-03:00,U
10017,561,ENTREGUE,654.65,2026-05-20T13:21:00-03:00,U
10083,511,NOVO,1066.49,2026-06-19T22:13:00-03:00,I
10108,502,NOVO,3630.05,2026-05-26T12:07:00-03:00,I
10069,559,NOVO,2846.29,2026-05-12T01:41:00-03:00,I
10022,526,NOVO,1101.98,2026-06-04T01:47:00-03:00,I
10069,559,NOVO,2846.29,2026-05-12T22:41:00-03:00,D
10089,530,NOVO,328.22,2026-05-15T04:25:00-03:00,I
10010,558,NOVO,3676.05,2026-05-30T05:42:00-03:00,I
10147,538,ENVIADO,4234.36,2026-06-14T17:53:00-03:00,U
10027,570,PAGO,4520.63,2026-07-10T15:20:00-03:00,U
10092,551,ENTREGUE,976.86,2026-07-01T22:47:00-03:00,U
10074,547,ENVIADO,1095.96,2026-06-14T20:51:00-03:00,U
10066,568,ENVIADO,1968.75,2026-05-25T13:45:00-03:00,U
10098,542,ENTREGUE,,2026-06-01T13:11:00-03:00,U
10100,557,NOVO,2638.56,2026-06-20T02:45:00-03:00,D
10067,532,PAGO,2083.78,2026-06-13T00:05:00-03:00,U
10055,519,PAGO,1306.73,2026-06-15T10:46:00-03:00,U
10118,512,ENVIADO,3570.78,2026-07-01T22:36:00-03:00,U
10032,563,CANCELADO,5049.10,2026-05-20T22:37:00-03:00,U
10018,527,ENVIADO,1892.81,2026-07-04T05:59:00-03:00,U
10035,530,ENVIADO,497.41,2026-05-14T08:53:00-03:00,U
10038,544,ENTREGUE,2243.24,2026-07-01T15:11:00-03:00,U
10034,538,NOVO,4902.89,2026-06-19T23:03:00-03:00,I
10036,534,ENTREGUE,908.04,2026-06-22T00:48:00-03:00,U
10102,522,NOVO,404.22,2026-05-24T11:03:00-03:00,I
10091,524,NOVO,1643.78,2026-06-29T20:37:00-03:00,I
10086,538,NOVO,1478.97,2026-05-31T01:46:00-03:00,I
10143,519,PAGO,1314.00,2026-06-23T21:25:00-03:00,U
10093,547,NOVO,1065.94,2026-07-01T23:53:00-03:00,I
10050,568,ENVIADO,3563.92,2026-05-24T08:09:00-03:00,U
10092,551,CANCELADO,976.86,2026-07-12T13:47:00-03:00,U
10101,511,NOVO,3982.62,2026-06-01T21:20:00-03:00,I
10073,540,ENTREGUE,185.60,2026-05-19T09:49:00-03:00,U
10132,563,CANCELADO,292.13,2026-05-21T23:23:00-03:00,U
10013,501,ENVIADO,2180.21,2026-05-24T04:14:00-03:00,U
10066,568,NOVO,1968.75,2026-05-23T10:45:00-03:00,I
10094,521,ENVIADO,147.59,2026-05-24T04:56:00-03:00,U
10018,527,NOVO,1892.81,2026-06-21T09:59:00-03:00,I
10126,557,ENVIADO,2985.33,2026-06-01T04:53:00-03:00,D
10082,517,ENVIADO,994.27,2026-06-25T23:42:00-03:00,U
10071,568,CANCELADO,1038.30,2026-06-29T00:20:00-03:00,U
10003,528,PAGO,502.78,2026-05-14T14:54:00-03:00,U
10132,563,ENTREGUE,297.66,2026-06-03T16:23:00-03:00,U
10141,539,NOVO,2559.67,2026-05-22T07:09:00-03:00,I
10050,568,NOVO,3379.16,2026-05-18T11:09:00-03:00,I
10037,529,NOVO,1403.87,2026-05-10T09:32:00-03:00,I
10119,542,NOVO,2606.28,2026-06-28T03:06:00-03:00,I
10083,511,PAGO,1066.49,2026-06-22T15:13:00-03:00,U
10073,540,PAGO,184.48,2026-05-16T14:49:00-03:00,U
10115,568,ENTREGUE,4384.05,2026-05-07T10:56:00-03:00,U
